time,dt,u,v,depth_raw,depth_maf,cam_x,cam_y,cam_z,map_x,map_y,map_z
1773404127.7783551,0.043465375900268555,430,202,2324.0,2324.0,0.31233291004878516,-0.6202697217116487,2.324,nan,nan,nan
1773451135.6179614,0.06896090507507324,639,493,1209.0,1209.0,0.6058207863090544,0.29459988762148637,1.209,nan,nan,nan
1773451136.8304179,0.06873846054077148,621,494,1209.0,1209.0,0.5676385844783577,0.2967211210565251,1.209,nan,nan,nan
1773451137.055169,0.06872129440307617,626,496,1209.0,1209.0,0.5782447516535513,0.3009635879266025,1.209,nan,nan,nan
1773451137.2850094,0.002042531967163086,626,500,1233.0,1212.4285714285713,0.5798845807968438,0.31032607862291967,1.2124285714285714,nan,nan,nan
1773451137.508963,0.035362958908081055,626,497,1209.0,1212.4285714285713,0.5798845807968438,0.3039443316668143,1.2124285714285714,nan,nan,nan
1773451137.7360272,0.03535294532775879,626,497,1209.0,1212.4285714285713,0.5798845807968438,0.3039443316668143,1.2124285714285714,nan,nan,nan
1773451138.0011714,0.0019729137420654297,626,495,1209.0,1212.4285714285713,0.5798845807968438,0.29968983369607727,1.2124285714285714,nan,nan,nan
1773451138.2680333,0.0019352436065673828,626,497,1209.0,1212.4285714285713,0.5798845807968438,0.3039443316668143,1.2124285714285714,nan,nan,nan
1773451138.4978073,0.03143143653869629,586,500,1233.0,1215.857142857143,0.49619382851220567,0.3112036355790821,1.215857142857143,nan,nan,nan
1773451138.7214444,0.03519463539123535,422,500,1259.0,1223.0,0.147198146482726,0.3130318792377537,1.223,nan,nan,nan
1773451138.9412673,0.0018320083618164062,318,492,1286.0,1230.5714285714287,-0.07643502192588054,0.29769716733570367,1.2305714285714286,nan,nan,nan
1773451139.1683705,0.0018050670623779297,208,505,1259.0,1237.7142857142858,-0.315756192934531,0.32765612951987033,1.2377142857142858,nan,nan,nan
1773451139.3969216,0.001773834228515625,94,494,1209.0,1237.7142857142858,-0.5633201512063013,0.3037683791603135,1.2377142857142858,nan,nan,nan
1773451139.6233017,0.035071372985839844,10,523,1185.0,1234.2857142857142,-0.7436699495467011,0.365729260949034,1.2342857142857142,nan,nan,nan
1773451162.6345198,0.06511855125427246,25,571,1060.0,1213.0,-0.6989213121771018,0.46157820008901185,1.213,nan,nan,nan
