time,dt,u,v,depth_center,cam_x,cam_y,cam_z,map_x,map_y,map_z
1773370373.6403074,0.09660482406616211,66,172,3777.0,-1.9045763739649377,-1.2068781654780574,3.777,nan,nan,nan
1773370373.763118,0.06324601173400879,142,174,3777.0,-1.4009334459295932,-1.1936244042139694,3.777,nan,nan,nan
1773370373.837878,0.09657478332519531,207,175,3777.0,-0.970186204846733,-1.1869975235819255,3.777,nan,nan,nan
1773370373.9450262,0.06321883201599121,249,175,3555.0,-0.6511920601164009,-1.1172295992411292,3.555,nan,nan,nan
1773370374.0262601,0.09654664993286133,362,134,3357.0,0.05064412073183321,-1.2964931575899297,3.357,nan,nan,nan
1773370374.146166,0.06318998336791992,317,174,3777.0,-0.2412293353218926,-1.1936244042139694,3.777,nan,nan,nan
1773370374.2177737,0.09652161598205566,343,174,3555.0,-0.06487892778647097,-1.1234669729893199,3.555,nan,nan,nan
1773370374.328096,0.09650254249572754,350,173,4029.0,-0.024046286422353878,-1.2803315929691785,4.029,nan,nan,nan
1773370374.372383,0.09649181365966797,340,173,4029.0,-0.0947365222351823,-1.2803315929691785,4.029,nan,nan,nan
1773370374.4980738,0.09647798538208008,411,173,3357.0,0.33925293084748437,-1.0667841046407378,3.357,nan,nan,nan
1773370374.6117744,0.09646368026733398,441,174,3555.0,0.5463836995362218,-1.1234669729893199,3.555,nan,nan,nan
1773370374.762451,0.09644842147827148,454,173,3777.0,0.666653311268136,-1.2002512848460134,3.777,nan,nan,nan
1773370374.8393862,0.09643411636352539,466,172,3555.0,0.7023180432409903,-1.1359417204857014,3.555,nan,nan,nan
1773370374.9296575,0.0964193344116211,474,172,4029.0,0.8525126376567184,-1.2874006165504615,4.029,nan,nan,nan
1773370375.0957646,0.0964057445526123,169,149,3555.0,-1.15018195997166,-1.2794013166940883,3.555,nan,nan,nan
1773370375.1108973,0.09639430046081543,164,149,3555.0,-1.1813688287126138,-1.2794013166940883,3.555,nan,nan,nan
1773370375.2200766,0.09637951850891113,485,171,4029.0,0.9302718970508297,-1.2944696401317444,4.029,nan,nan,nan
1773370375.3530028,0.09636569023132324,528,131,3555.0,1.0890352156288163,-1.3916740441615219,3.555,nan,nan,nan
1773370375.479852,0.09634995460510254,655,124,4317.0,2.284405434508835,-1.7429941057501732,4.317,nan,nan,nan
