time,rgb_depth_dt,u,v,depth_center
1773359372.0479612,0.1416459083557129,293,472,1777.0
1773359372.182888,0.10829734802246094,240,473,1474.0
1773359372.2703319,0.1416177749633789,186,475,1679.0
1773359372.3760397,0.14160728454589844,159,475,1439.0
1773359372.4673514,0.14159035682678223,134,477,1439.0
1773359372.614412,0.10824108123779297,108,478,1439.0
1773359372.7174022,0.10822939872741699,85,478,1405.0
1773359372.8819547,0.14153814315795898,65,479,1374.0
1773359372.9686651,0.14151954650878906,78,479,1374.0
1773359373.117203,0.10817241668701172,107,478,1374.0
1773359373.1453257,0.14149069786071777,151,477,1405.0
1773359373.291353,0.10814523696899414,194,474,1405.0
1773359373.374273,0.0747981071472168,248,473,1439.0
1773359373.4253612,0.1414496898651123,298,472,0.0
1773359373.5767505,0.1414318084716797,359,473,2878.0
1773359373.659666,0.1414201259613037,411,473,4029.0
1773359373.7745845,0.10807418823242188,459,475,1439.0
1773359373.8560226,0.14139366149902344,525,475,0.0
1773359373.996984,0.14137887954711914,586,476,3357.0
1773359374.254914,0.10800385475158691,659,479,1374.0
1773359374.333588,0.14132356643676758,674,486,1405.0
1773359374.519339,0.1412956714630127,664,480,1439.0
1773359374.7580516,0.14127230644226074,626,478,1405.0
1773359374.8444502,0.1412520408630371,581,477,1439.0
1773359374.985945,0.10790610313415527,563,476,1405.0
1773359375.084317,0.14122796058654785,572,476,1374.0
1773359375.2167196,0.14121603965759277,521,475,1511.0
1773359375.2609398,0.14119672775268555,439,473,1777.0
1773359375.407441,0.1078498363494873,392,471,1511.0
1773359375.4996238,0.14116573333740234,316,470,1679.0
1773359375.673859,0.1411452293395996,254,474,1474.0
1773359375.7644222,0.1411266326904297,192,475,1633.0
1773359375.855459,0.10778498649597168,148,478,1439.0
1773359375.9523602,0.141096830368042,94,479,1439.0
1773359376.0873299,0.10775184631347656,64,480,1405.0
1773359376.169,0.07440400123596191,50,482,1374.0
1773359376.2066364,0.14105987548828125,39,483,1374.0
1773359376.3418639,0.14104795455932617,31,484,1374.0
1773359376.4391668,0.14102888107299805,39,484,1374.0
1773359376.5847442,0.10768389701843262,47,483,1374.0
1773359376.662178,0.14099860191345215,68,480,1374.0
1773359376.754233,0.1409926414489746,109,478,1374.0
1773359376.9822943,0.10762667655944824,237,474,1439.0
1773359377.0675125,0.14094924926757812,307,473,0.0
1773359377.164257,0.14093589782714844,378,471,1889.0
1773359377.210796,0.14098119735717773,453,472,0.0
1773359377.3526409,0.1409616470336914,523,474,0.0
1773359377.434143,0.10755610466003418,598,478,3181.0
1773359378.0383606,0.14080309867858887,332,373,4649.0
1773359378.2267828,0.14078140258789062,665,482,1511.0
1773359379.192512,0.14065289497375488,607,479,1474.0
1773359379.2849991,0.1406409740447998,608,479,1439.0
1773359379.3841922,0.14062213897705078,693,369,3022.0
1773359379.5287888,0.10728025436401367,692,369,3022.0
1773359379.6253726,0.10726046562194824,692,369,3022.0
1773359379.7138503,0.1072542667388916,691,369,3022.0
1773359379.8021166,0.10723447799682617,667,369,3022.0
1773359379.8938818,0.10721898078918457,668,369,3022.0
1773359379.9801743,0.14053821563720703,676,369,3022.0
1773359380.0572588,0.14052319526672363,600,477,1405.0
1773359380.1654632,0.14050984382629395,525,473,1679.0
1773359380.3286114,0.10716772079467773,462,471,1511.0
1773359380.4278228,0.10715055465698242,383,470,1777.0
1773359380.5230923,0.07380414009094238,306,471,1511.0
1773359380.5597813,0.10712051391601562,230,472,1727.0
1773359380.801261,0.140425443649292,79,479,1679.0
1773359380.90348,0.10708045959472656,39,483,1405.0
1773359380.9829154,0.1403970718383789,11,492,1374.0
1773359381.7064493,0.1402900218963623,16,485,1679.0
1773359381.7840436,0.14027094841003418,59,481,1727.0
1773359381.917249,0.10692739486694336,108,478,0.0
1773359382.0212383,0.1402432918548584,110,478,1374.0
1773359382.1045182,0.1402294635772705,110,478,1405.0
1773359382.2731802,0.10688328742980957,110,478,1405.0
1773359382.3584154,0.14020800590515137,109,478,1405.0
1773359382.451775,0.14018964767456055,109,478,1405.0
1773359382.585041,0.14017868041992188,116,478,1405.0
1773359382.6751614,0.14016079902648926,190,474,0.0
1773359382.807246,0.10681390762329102,251,473,0.0
1773359382.8987663,0.07346439361572266,304,471,1439.0
1773359383.0831466,0.14010405540466309,413,471,0.0
1773359383.1727633,0.07342815399169922,467,471,1439.0
1773359383.2237449,0.1400763988494873,523,472,0.0
1773359383.3769822,0.14006662368774414,579,474,3022.0
1773359383.7028584,0.14001941680908203,666,482,1374.0
1773359384.0534368,0.13996362686157227,659,480,1439.0
