time,dt,u,v,depth_raw,depth_maf,cam_x,cam_y,cam_z,map_x,map_y,map_z
1773389308.8201323,0.06888842582702637,498,271,6043.0,6043.0,1.533126953934019,-0.8812780057450758,6.043,nan,nan,nan
1773389309.1577296,0.06887364387512207,499,262,6043.0,6043.0,1.543729612038187,-0.9767019286825863,6.043,nan,nan,nan
1773389309.5086792,0.031149864196777344,505,248,5494.0,5964.571428571428,1.5864847603794157,-1.110536617637133,5.964571428571428,nan,nan,nan
1773389309.8341959,0.0354762077331543,527,235,6043.0,5964.571428571428,1.8167159129676465,-1.2465822987119963,5.964571428571428,nan,nan,nan
1773389310.167903,0.03543829917907715,567,219,5036.0,5820.714285714285,2.181405256267927,-1.3799188713200083,5.820714285714286,nan,nan,nan
1773389310.5833266,0.06865644454956055,558,181,5346.0,5721.142857142857,2.053747744887648,-1.7377554722605377,5.721142857142857,nan,nan,nan
1773389310.9200804,0.06864619255065918,560,187,4649.0,5522.0,2.0016375109712015,-1.619136009271281,5.522,nan,nan,nan
1773389311.3562067,0.06855607032775879,369,231,5036.0,5378.142857142857,0.14718833243215934,-1.1617645887375978,5.378142857142857,nan,nan,nan
1773389314.206975,0.06813430786132812,268,139,3555.0,5022.714285714285,-0.7526045807913364,-1.8957391653515707,5.022714285714286,nan,nan,nan
1773389314.5423837,0.06811738014221191,270,140,3357.0,4717.428571428572,-0.6903067122763086,-1.7722373029168972,4.717428571428572,nan,nan,nan
1773389314.8736007,0.034778594970703125,276,144,3357.0,4333.714285714285,-0.5885354287728771,-1.5976694070065276,4.333714285714286,nan,nan,nan
1773389315.8663375,0.06789469718933105,390,289,2518.0,3974.0,0.25518293527880026,-0.4540409490854869,3.974,nan,nan,nan
1773389316.2206397,0.06786704063415527,404,277,2417.0,3555.5714285714284,0.3156516003481779,-0.4810947953869032,3.5555714285714286,nan,nan,nan
1773389316.547831,0.001190185546875,383,276,2324.0,3223.4285714285716,0.16739706343552765,-0.44180905969881745,3.2234285714285718,nan,nan,nan
1773389316.9524233,0.034424781799316406,312,278,2324.0,2836.0,-0.20600888597703768,-0.3787556603688722,2.836,nan,nan,nan
1773389317.2921112,0.06774544715881348,297,273,2324.0,2660.1428571428573,-0.2632442353347248,-0.37860602708833446,2.660142857142857,nan,nan,nan
1773389317.6285865,0.03226971626281738,255,270,2158.0,2488.8571428571427,-0.4296991327587727,-0.36732807559115677,2.488857142857143,nan,nan,nan
1773389319.4847155,0.06740760803222656,27,405,1679.0,2249.1428571428573,-1.2880464907851703,0.20078826669062186,2.2491428571428576,nan,nan,nan
1773389319.8737102,0.06737756729125977,21,395,1679.0,2129.285714285714,-1.241821754448924,0.15272915736400375,2.129285714285714,nan,nan,nan
1773389320.7574334,0.06722259521484375,17,536,1259.0,1963.857142857143,-1.1591247054458464,0.6267009670904041,1.963857142857143,nan,nan,nan
1773389321.0971367,0.03387618064880371,17,535,1259.0,1811.7142857142858,-1.0693256357361043,0.5749708184554471,1.8117142857142858,nan,nan,nan
1773389321.433606,0.0005352497100830078,13,502,1550.0,1701.142857142857,-1.016002075463997,0.4413839408598166,1.701142857142857,nan,nan,nan
1773389321.7755523,0.033806800842285156,26,442,2747.0,1761.5714285714287,-1.0119132293320863,0.27161855257000717,1.7615714285714286,nan,nan,nan
1773389322.1100163,0.03377103805541992,102,447,1590.0,1680.4285714285713,-0.7412254623646564,0.2738489080537598,1.6804285714285714,nan,nan,nan
1773389322.4349427,0.03372693061828613,157,447,1633.0,1673.857142857143,-0.5768005514759315,0.27277800354211545,1.673857142857143,nan,nan,nan
1773389322.7646003,0.0003485679626464844,414,438,1777.0,1687.857142857143,0.17945629887397518,0.24840684808269325,1.687857142857143,nan,nan,nan
1773389323.1009996,0.06635642051696777,676,437,2417.0,1853.2857142857142,1.048978758222779,0.26950179680481406,1.8532857142857142,nan,nan,nan
1773389323.9988904,0.03343462944030762,9,135,4317.0,2290.1428571428573,-1.3838529704426368,-0.8804485130690928,2.2901428571428575,nan,nan,nan
1773389328.3670027,0.09947347640991211,687,425,2878.0,2479.8571428571427,1.4514855969612486,0.3084048266218209,2.4798571428571425,nan,nan,nan
1773389328.7139945,0.09944558143615723,673,418,1439.0,2293.0,1.2857921125468568,0.2570044849671517,2.293,nan,nan,nan
1773389329.0491524,0.09943127632141113,668,426,1374.0,2262.1428571428573,1.2486440225777122,0.28529802832909074,2.2621428571428575,nan,nan,nan
1773389329.3782742,0.0005962848663330078,670,440,1286.0,2212.5714285714284,1.2290459535688172,0.33339464694103355,2.2125714285714286,nan,nan,nan
1773389329.7212052,0.0006382465362548828,688,471,1209.0,2131.4285714285716,1.2512864789577207,0.43709756121889065,2.1314285714285717,nan,nan,nan
1773389330.0518606,0.03263115882873535,663,444,1286.0,1969.857142857143,1.0700289885942955,0.3106467146946694,1.969857142857143,nan,nan,nan
1773389330.517777,0.09917926788330078,75,87,8634.0,2586.5714285714284,-1.2634510806193522,-1.212245986068601,2.5865714285714283,nan,nan,nan
1773389335.702626,0.09846353530883789,19,478,1777.0,2429.285714285714,-1.4253094361067156,0.5280157710694644,2.4292857142857143,nan,nan,nan
