time,rgb_depth_dt,u,v,depth_center
1773359538.18564,0.11843252182006836,515,502,1185.0
1773359538.2483187,0.11841869354248047,515,503,1185.0
1773359538.3038602,0.1184079647064209,515,502,1185.0
1773359538.364622,0.11839008331298828,515,502,1185.0
1773359538.420877,0.11838340759277344,515,502,1185.0
1773359538.4787872,0.11836361885070801,515,503,1185.0
1773359538.5349333,0.11835575103759766,515,502,1185.0
1773359538.5499365,0.11834359169006348,515,502,1185.0
1773359538.6040947,0.08499550819396973,515,502,1185.0
1773359538.6621141,0.11831188201904297,515,502,1162.0
1773359538.7753649,0.11829757690429688,515,502,1185.0
1773359538.8070538,0.08494734764099121,515,502,1185.0
1773359538.8998773,0.05160260200500488,515,503,1185.0
1773359538.9566553,0.08491969108581543,515,502,1185.0
1773359539.0887728,0.11823606491088867,514,505,1185.0
1773359539.1994927,0.11822223663330078,475,501,1185.0
1773359539.3072088,0.11821365356445312,438,502,1185.0
1773359539.4572833,0.11819887161254883,400,502,1209.0
1773359539.5376048,0.11818456649780273,364,502,1185.0
1773359539.5951374,0.11816716194152832,330,503,1185.0
1773359539.7311628,0.051488637924194336,292,504,1185.0
1773359539.764789,0.11814451217651367,258,505,1185.0
1773359539.9008791,0.11812829971313477,220,502,1185.0
1773359539.9916592,0.11811518669128418,182,504,1162.0
1773359540.0805707,0.11818575859069824,147,511,1162.0
1773359540.2196894,0.1180884838104248,119,513,1162.0
1773359540.2759087,0.11807513236999512,96,513,1140.0
1773359540.3604157,0.11805987358093262,83,513,1140.0
1773359540.5436985,0.1180272102355957,93,511,1162.0
1773359540.6697507,0.11801385879516602,115,513,1162.0
1773359540.7991288,0.11800241470336914,143,509,1162.0
1773359540.8422072,0.11797785758972168,177,509,1162.0
1773359540.93862,0.11797213554382324,221,504,1185.0
1773359541.0942361,0.11795663833618164,271,502,1209.0
1773359541.1585104,0.08461189270019531,331,502,1209.0
1773359541.254061,0.1179342269897461,388,502,1233.0
1773359541.3353648,0.1179189682006836,423,503,1185.0
1773359541.4252183,0.11790037155151367,434,504,1185.0
1773359541.518747,0.11788606643676758,507,503,0.0
1773359541.703154,0.11787724494934082,552,503,1185.0
1773359541.7560186,0.11786317825317383,588,503,1162.0
1773359541.8181803,0.1178431510925293,611,506,1162.0
1773359541.9475207,0.11783051490783691,626,507,1162.0
1773359542.0800078,0.11781883239746094,640,507,1140.0
1773359542.1660523,0.11780595779418945,645,505,1140.0
1773359542.2575436,0.11778640747070312,630,507,1140.0
1773359542.3989637,0.08444333076477051,616,506,1140.0
1773359542.4961174,0.11776447296142578,587,504,1162.0
1773359542.6006424,0.1177511215209961,549,503,1162.0
1773359542.6914222,0.11773800849914551,491,503,1162.0
1773359542.7825418,0.11772346496582031,433,504,1185.0
1773359542.873512,0.11770105361938477,370,501,1185.0
1773359542.9695773,0.1176910400390625,310,500,1185.0
1773359543.095632,0.11767411231994629,242,504,1209.0
1773359543.1863196,0.11766767501831055,177,509,1185.0
1773359543.2789187,0.11765289306640625,115,513,1162.0
1773359543.3202858,0.11763954162597656,78,509,1140.0
1773359543.4500964,0.11762642860412598,52,519,1140.0
1773359543.540304,0.11760783195495605,31,510,1140.0
1773359544.0315158,0.11753606796264648,31,510,1474.0
1773359544.2505379,0.11750674247741699,90,512,1185.0
1773359544.4344904,0.11748027801513672,226,503,1233.0
1773359544.5250654,0.11746764183044434,275,506,1185.0
1773359544.6603117,0.11744904518127441,268,505,1185.0
1773359544.7507093,0.11744236946105957,268,503,1185.0
1773359544.838939,0.11742544174194336,268,503,1209.0
1773359544.9439092,0.11740970611572266,282,504,1185.0
